event_id,event_start_date,event_end_date,peak_date,peak_streamflow_m3s,event_duration_days,event_mean_streamflow_m3s
1,1957-07-21,1957-07-23,1957-07-21,134.212,3,121.11666666666666
2,1957-07-31,1957-08-31,1957-08-19,230.317,32,151.14109374999998
3,1957-09-05,1957-09-25,1957-09-09,178.02,21,120.50023809523807
4,1957-09-27,1957-09-27,1957-09-27,81.121,1,81.121
5,1957-10-20,1957-10-31,1957-10-23,169.139,12,122.218
6,1958-03-15,1958-03-24,1958-03-20,114.827,10,102.57509999999999
7,1958-06-13,1958-06-19,1958-06-16,96.463,7,92.89500000000001
8,1958-08-08,1958-08-12,1958-08-10,98.78,5,92.873
9,1958-09-08,1958-09-08,1958-09-08,82.107,1,82.107
10,1958-09-11,1958-09-12,1958-09-11,98.78,2,90.4435
11,1958-09-15,1958-09-16,1958-09-16,103.715,2,100.2175
12,1958-09-25,1958-09-26,1958-09-25,118.861,2,104.4795
13,1958-10-07,1958-10-07,1958-10-07,110.296,1,110.296
14,1958-10-31,1958-11-05,1958-11-01,169.139,6,143.94133333333335
15,1958-11-11,1958-11-12,1958-11-11,125.932,2,106.7565
16,1958-11-17,1958-11-22,1958-11-17,147.435,6,115.6195
17,1958-12-03,1958-12-04,1958-12-03,115.095,2,99.84
18,1959-02-23,1959-02-23,1959-02-23,92.885,1,92.885
19,1959-04-26,1959-04-28,1959-04-27,118.321,3,105.58
20,1959-05-22,1959-05-22,1959-05-22,97.749,1,97.749
21,1959-09-02,1959-09-05,1959-09-03,102.411,4,94.20125
22,1959-09-12,1959-09-13,1959-09-12,83.343,2,82.725
23,1959-09-27,1959-09-30,1959-09-29,148.859,4,123.66275000000002
24,1960-02-04,1960-02-05,1960-02-04,116.436,2,108.125
25,1960-03-03,1960-03-06,1960-03-03,151.145,4,125.21525000000001
26,1960-04-07,1960-04-07,1960-04-07,97.749,1,97.749
27,1960-06-24,1960-06-24,1960-06-24,101.89,1,101.89
28,1960-08-01,1960-08-02,1960-08-01,136.72,2,118.526
29,1960-08-15,1960-08-15,1960-08-15,105.024,1,105.024
30,1960-08-18,1960-08-20,1960-08-18,153.152,3,133.23499999999999
31,1960-09-01,1960-09-03,1960-09-01,162.698,3,128.52533333333335
32,1960-10-26,1960-10-28,1960-10-27,130.332,3,109.49366666666667
33,1961-02-23,1961-02-25,1961-02-25,91.616,3,89.765
34,1961-02-27,1961-02-28,1961-02-28,102.932,2,95.5075
35,1961-03-19,1961-03-27,1961-03-22,152.578,9,127.00911111111112
36,1961-09-07,1961-09-07,1961-09-07,84.088,1,84.088
37,1961-09-10,1961-09-14,1961-09-11,141.208,5,112.82399999999998
38,1961-09-28,1961-10-04,1961-09-30,153.152,7,130.75271428571426
39,1961-10-12,1961-10-12,1961-10-12,87.581,1,87.581
40,1961-10-14,1961-10-29,1961-10-15,169.728,16,111.45174999999999
41,1961-11-01,1961-11-13,1961-11-03,193.06,13,153.93176923076925
42,1962-05-22,1962-05-22,1962-05-22,89.593,1,89.593
43,1962-07-17,1962-07-18,1962-07-18,133.1,2,121.30099999999999
44,1962-07-27,1962-07-29,1962-07-28,135.325,3,111.56133333333334
45,1962-09-19,1962-09-24,1962-09-20,155.741,6,123.65666666666665
46,1963-01-30,1963-02-11,1963-02-02,193.06,13,148.66153846153844
47,1963-02-28,1963-03-03,1963-03-01,150.001,4,113.7605
48,1963-03-23,1963-03-29,1963-03-24,188.215,7,131.07814285714286
49,1963-08-15,1963-08-17,1963-08-16,123.473,3,108.29933333333332
50,1963-08-22,1963-08-22,1963-08-22,93.904,1,93.904
51,1963-08-26,1963-08-26,1963-08-26,86.579,1,86.579
52,1963-09-27,1963-10-12,1963-09-28,201.61,16,139.1400625
53,1963-10-17,1963-10-24,1963-10-18,142.335,8,108.72537499999999
54,1963-11-08,1963-11-14,1963-11-11,172.087,7,127.169
55,1964-10-27,1964-10-27,1964-10-27,109.237,1,109.237
56,1965-05-15,1965-05-16,1965-05-15,130.884,2,108.357
57,1965-07-04,1965-07-06,1965-07-04,86.33,3,85.58166666666666
58,1965-08-18,1965-08-31,1965-08-20,237.598,14,172.4327857142857
59,1965-09-05,1965-09-15,1965-09-07,192.372,11,146.58572727272727
60,1965-09-20,1965-09-20,1965-09-20,94.84,1,94.84
61,1965-11-20,1965-11-20,1965-11-20,87.284,1,87.284
62,1965-11-22,1965-11-23,1965-11-23,118.686,2,117.575
63,1965-11-27,1965-11-28,1965-11-27,99.607,2,91.523
64,1965-12-22,1965-12-23,1965-12-23,104.308,2,102.813
65,1966-02-09,1966-02-28,1966-02-18,206.327,20,164.25490000000002
66,1966-03-26,1966-03-26,1966-03-26,98.011,1,98.011
67,1966-04-25,1966-04-27,1966-04-25,149.089,3,126.73766666666667
68,1966-06-18,1966-06-18,1966-06-18,114.252,1,114.252
69,1966-09-02,1966-09-07,1966-09-04,158.3,6,117.10699999999999
70,1966-12-13,1966-12-14,1966-12-13,100.674,2,92.0565
71,1967-02-12,1967-02-15,1967-02-13,129.385,4,117.36025000000001
72,1967-06-06,1967-06-06,1967-06-06,103.193,1,103.193
73,1967-08-24,1967-08-27,1967-08-26,145.73,4,130.224
74,1967-09-09,1967-09-10,1967-09-09,124.837,2,104.95949999999999
75,1967-09-13,1967-09-14,1967-09-13,119.672,2,114.98400000000001
76,1967-09-19,1967-09-29,1967-09-22,160.952,11,129.5377272727273
77,1967-10-29,1967-10-30,1967-10-30,105.548,2,99.5985
78,1967-11-29,1967-11-30,1967-11-30,101.44,2,94.13499999999999
79,1967-12-03,1967-12-03,1967-12-03,80.629,1,80.629
80,1968-09-13,1968-09-15,1968-09-14,108.18,3,95.37766666666666
81,1968-09-21,1968-09-23,1968-09-21,110.031,3,102.60133333333334
82,1968-11-04,1968-11-04,1968-11-04,86.752,1,86.752
83,1968-11-09,1968-11-11,1968-11-10,136.972,3,103.86833333333334
84,1968-12-23,1968-12-30,1968-12-25,185.202,8,134.44774999999998
85,1969-01-03,1969-01-04,1969-01-03,97.234,2,92.4075
86,1969-02-20,1969-02-20,1969-02-20,87.331,1,87.331
87,1969-04-02,1969-04-02,1969-04-02,90.603,1,90.603
88,1969-04-05,1969-04-05,1969-04-05,95.182,1,95.182
89,1969-06-23,1969-06-23,1969-06-23,82.354,1,82.354
90,1969-07-09,1969-07-09,1969-07-09,95.438,1,95.438
91,1969-11-09,1969-11-09,1969-11-09,108.225,1,108.225
92,1970-01-07,1970-01-07,1970-01-07,82.421,1,82.421
93,1970-05-20,1970-05-20,1970-05-20,98.543,1,98.543
94,1970-06-23,1970-06-23,1970-06-23,104.702,1,104.702
95,1970-07-02,1970-07-04,1970-07-02,145.855,3,127.093
96,1970-08-29,1970-08-29,1970-08-29,90.652,1,90.652
97,1971-01-02,1971-01-05,1971-01-02,115.91,4,94.91825
98,1971-01-10,1971-01-13,1971-01-11,125.416,4,101.71275
99,1971-02-22,1971-02-23,1971-02-23,98.543,2,95.51050000000001
100,1971-03-05,1971-03-10,1971-03-07,101.209,6,90.69683333333334
101,1971-03-15,1971-03-24,1971-03-16,128.816,10,96.297
102,1971-03-27,1971-03-30,1971-03-27,131.666,4,111.09049999999999
103,1971-04-16,1971-04-19,1971-04-17,176.203,4,129.63075
104,1971-05-08,1971-05-11,1971-05-08,148.5,4,124.09825000000001
105,1971-06-09,1971-06-09,1971-06-09,116.741,1,116.741
106,1971-07-04,1971-07-07,1971-07-05,153.826,4,131.08275
107,1971-08-07,1971-08-07,1971-08-07,101.209,1,101.209
108,1972-02-13,1972-02-15,1972-02-14,103.894,3,95.96766666666667
109,1972-02-18,1972-02-23,1972-02-19,173.748,6,132.97133333333332
110,1972-06-19,1972-06-19,1972-06-19,121.479,1,121.479
111,1972-07-08,1972-07-08,1972-07-08,93.788,1,93.788
112,1972-08-04,1972-08-05,1972-08-04,130.809,2,121.56700000000001
113,1972-08-26,1972-09-04,1972-08-28,166.13,10,132.1381
114,1972-09-19,1972-09-23,1972-09-19,134.82,5,118.6482
115,1972-09-28,1972-09-29,1972-09-28,113.15,2,99.831
116,1972-12-03,1972-12-06,1972-12-04,166.736,4,132.2065
117,1972-12-24,1972-12-26,1972-12-25,166.433,3,128.39266666666666
118,1973-01-14,1973-01-15,1973-01-15,85.484,2,83.19200000000001
119,1973-01-23,1973-01-23,1973-01-23,91.694,1,91.694
120,1973-01-26,1973-01-26,1973-01-26,87.8,1,87.8
121,1973-01-30,1973-01-30,1973-01-30,94.576,1,94.576
122,1973-02-16,1973-02-17,1973-02-16,109.86,2,103.40549999999999
123,1973-05-22,1973-05-23,1973-05-22,165.524,2,152.192
124,1973-06-19,1973-06-19,1973-06-19,83.439,1,83.439
125,1973-06-24,1973-06-27,1973-06-25,146.441,4,116.11850000000001
126,1973-07-22,1973-07-25,1973-07-23,160.999,4,126.70625
127,1973-08-13,1973-08-14,1973-08-14,151.157,2,126.71900000000001
128,1973-08-22,1973-08-23,1973-08-23,134.82,2,113.649
129,1973-08-28,1973-09-04,1973-08-29,182.07,8,133.63324999999998
130,1974-02-25,1974-02-25,1974-02-25,90.652,1,90.652
131,1974-03-17,1974-03-19,1974-03-17,133.958,3,117.17866666666667
132,1974-03-21,1974-03-30,1974-03-24,233.629,10,178.1586
133,1974-11-07,1974-11-07,1974-11-07,112.051,1,112.051
134,1975-08-07,1975-08-07,1975-08-07,98.277,1,98.277
135,1975-08-09,1975-08-12,1975-08-10,140.891,4,104.73799999999999
136,1975-09-08,1975-09-08,1975-09-08,89.353,1,89.353
137,1975-09-11,1975-09-18,1975-09-13,169.776,8,122.58925
138,1975-09-22,1975-09-23,1975-09-22,115.357,2,100.9345
139,1975-10-01,1975-10-06,1975-10-03,149.679,6,106.85466666666667
140,1975-10-14,1975-10-16,1975-10-15,147.617,3,113.372
141,1975-12-09,1975-12-10,1975-12-10,91.694,2,90.26400000000001
142,1975-12-12,1975-12-16,1975-12-14,108.225,5,98.9572
143,1976-01-13,1976-01-19,1976-01-14,131.666,7,113.63828571428571
144,1976-05-15,1976-05-16,1976-05-15,149.975,2,129.64499999999998
145,1976-05-28,1976-06-01,1976-05-29,153.232,5,127.7032
146,1976-08-01,1976-08-01,1976-08-01,95.103,1,95.103
147,1976-08-06,1976-08-13,1976-08-10,148.794,8,106.72149999999999
148,1976-11-30,1976-12-11,1976-12-01,232.64,12,150.8885
149,1976-12-24,1976-12-24,1976-12-24,110.954,1,110.954
150,1977-01-05,1977-01-05,1977-01-05,91.173,1,91.173
151,1977-01-18,1977-01-23,1977-01-19,154.123,6,119.17316666666669
152,1977-02-04,1977-02-14,1977-02-07,141.182,11,104.56209090909088
153,1977-07-23,1977-07-25,1977-07-23,149.975,3,110.86066666666666
154,1977-08-17,1977-08-27,1977-08-18,232.64,11,164.7159090909091
155,1977-10-03,1977-10-04,1977-10-03,115.08,2,108.6805
156,1977-10-17,1977-10-17,1977-10-17,103.086,1,103.086
157,1977-11-12,1977-11-13,1977-11-12,122.32,2,107.399
158,1978-01-20,1978-01-21,1978-01-20,149.089,2,138.5265
159,1978-09-16,1978-09-17,1978-09-16,107.138,2,101.12049999999999
160,1978-12-26,1978-12-27,1978-12-26,136.547,2,132.1135
161,1979-05-10,1979-05-10,1979-05-10,137.702,1,137.702
162,1979-10-03,1979-10-04,1979-10-03,116.741,2,102.6585
163,1979-10-08,1979-10-11,1979-10-09,135.683,4,111.94975
164,1979-10-25,1979-10-28,1979-10-26,166.13,4,118.02125000000001
165,1979-11-09,1979-11-13,1979-11-12,146.441,5,104.69200000000001
166,1980-02-19,1980-02-19,1980-02-19,87.8,1,87.8
167,1980-03-01,1980-03-10,1980-03-01,159.798,10,116.2263
168,1980-04-15,1980-04-15,1980-04-15,95.103,1,95.103
169,1980-07-30,1980-08-05,1980-07-31,201.542,7,135.2317142857143
170,1980-08-21,1980-08-31,1980-08-23,209.853,11,153.71818181818182
171,1980-10-23,1980-10-23,1980-10-23,82.167,1,82.167
172,1980-10-28,1980-10-29,1980-10-28,108.497,2,102.989
173,1980-12-03,1980-12-08,1980-12-04,179.903,6,122.64683333333333
174,1980-12-21,1981-01-05,1980-12-22,227.38,16,164.6980625
175,1981-02-15,1981-02-15,1981-02-15,94.84,1,94.84
176,1981-07-26,1981-07-27,1981-07-26,112.051,2,109.866
177,1982-02-24,1982-02-25,1982-02-24,127.68,2,105.81450000000001
178,1982-06-28,1982-07-02,1982-06-30,149.679,5,128.4196
179,1982-10-08,1982-10-08,1982-10-08,118.13,1,118.13
180,1982-10-24,1982-10-25,1982-10-24,134.82,2,118.2825
181,1982-11-05,1982-11-20,1982-11-07,193.631,16,126.9231875
182,1983-01-07,1983-01-09,1983-01-08,142.055,3,131.28900000000002
183,1983-02-01,1983-02-02,1983-02-01,115.357,2,101.83699999999999
184,1983-02-28,1983-03-06,1983-03-01,144.683,7,104.53257142857142
185,1983-04-06,1983-04-06,1983-04-06,86.512,1,86.512
186,1983-04-19,1983-04-19,1983-04-19,85.228,1,85.228
187,1983-05-02,1983-05-03,1983-05-02,124.288,2,115.3065
188,1983-05-11,1983-05-15,1983-05-11,152.342,5,120.1806
189,1983-05-20,1983-05-29,1983-05-21,178.051,10,124.7248
190,1983-06-13,1983-06-24,1983-06-15,224.107,12,151.32675000000003
191,1983-07-07,1983-08-13,1983-07-12,323.179,38,212.90194736842105
192,1983-08-16,1983-08-26,1983-08-18,216.303,11,146.65518181818183
193,1983-09-23,1983-09-27,1983-09-24,176.818,5,118.56500000000001
194,1983-11-12,1983-11-13,1983-11-12,118.686,2,114.137
195,1984-01-20,1984-01-20,1984-01-20,82.929,1,82.929
196,1984-02-01,1984-02-03,1984-02-01,118.13,3,97.68400000000001
197,1984-06-16,1984-06-22,1984-06-18,148.205,7,114.08885714285715
198,1984-07-07,1984-07-08,1984-07-07,139.729,2,122.62100000000001
199,1984-07-21,1984-07-25,1984-07-22,173.135,5,129.5028
200,1984-08-06,1984-08-19,1984-08-09,266.865,14,185.75642857142853
201,1984-09-26,1984-09-28,1984-09-26,152.045,3,131.87566666666666
202,1984-11-08,1984-11-10,1984-11-08,85.998,3,85.65533333333333
203,1984-12-07,1984-12-10,1984-12-08,170.081,4,128.10825
204,1985-02-15,1985-02-16,1985-02-16,99.607,2,96.82900000000001
205,1985-02-19,1985-02-22,1985-02-20,119.801,4,107.34325
206,1985-03-11,1985-03-11,1985-03-11,118.686,1,118.686
207,1985-03-25,1985-03-26,1985-03-26,96.951,2,91.7315
208,1985-10-21,1985-10-21,1985-10-21,97.481,1,97.481
209,1985-11-04,1985-11-06,1985-11-05,97.481,3,91.55833333333334
210,1986-05-31,1986-06-01,1986-05-31,129.1,2,123.893
211,1986-10-10,1986-10-14,1986-10-11,176.203,5,135.94459999999998
212,1986-11-06,1986-11-10,1986-11-07,169.167,5,128.2502
213,1987-01-15,1987-01-22,1987-01-16,164.013,8,121.603125
214,1987-02-17,1987-02-21,1987-02-19,127.397,5,101.63480000000001
215,1987-04-12,1987-04-16,1987-04-14,165.222,5,128.8398
216,1987-05-08,1987-05-11,1987-05-09,185.488,4,144.79399999999998
217,1987-05-14,1987-05-27,1987-05-16,242.583,14,157.84742857142857
218,1987-06-14,1987-06-15,1987-06-14,109.86,2,104.4675
219,1987-08-13,1987-08-13,1987-08-13,130.524,1,130.524
220,1987-09-11,1987-09-11,1987-09-11,105.783,1,105.783
221,1987-10-02,1987-10-02,1987-10-02,93.263,1,93.263
222,1987-10-15,1987-10-23,1987-10-20,145.561,9,115.46711111111111
223,1988-02-02,1988-02-02,1988-02-02,83.439,1,83.439
224,1988-04-26,1988-04-26,1988-04-26,97.746,1,97.746
225,1988-05-04,1988-05-08,1988-05-05,169.776,5,127.8984
226,1988-09-14,1988-09-14,1988-09-14,89.872,1,89.872
227,1988-09-21,1988-09-25,1988-09-22,165.222,5,134.4438
228,1989-01-28,1989-01-29,1989-01-28,110.681,2,103.9485
229,1989-01-31,1989-02-03,1989-02-02,98.011,4,90.83824999999999
230,1989-05-04,1989-05-09,1989-05-04,136.547,6,117.61816666666665
231,1989-08-25,1989-08-26,1989-08-26,121.026,2,113.681
232,1989-09-09,1989-09-22,1989-09-13,235.084,14,153.47857142857143
233,1989-09-24,1989-09-26,1989-09-25,122.656,3,101.96266666666666
234,1989-10-04,1989-10-04,1989-10-04,81.613,1,81.613
235,1990-01-02,1990-01-04,1990-01-03,133.656,3,121.14
236,1990-01-12,1990-01-18,1990-01-15,98.522,7,89.84971428571428
237,1990-01-21,1990-01-24,1990-01-22,96.207,4,91.3105
238,1990-02-11,1990-02-18,1990-02-12,173.566,8,142.9805
239,1990-02-25,1990-02-26,1990-02-25,83.591,2,82.356
240,1990-04-09,1990-04-10,1990-04-09,118.591,2,104.47049999999999
241,1990-04-28,1990-04-29,1990-04-28,121.297,2,106.203
242,1990-05-30,1990-06-15,1990-06-07,216.784,17,154.30164705882353
243,1990-07-19,1990-07-19,1990-07-19,82.601,1,82.601
244,1990-07-21,1990-07-21,1990-07-21,92.885,1,92.885
245,1990-07-25,1990-07-25,1990-07-25,83.096,1,83.096
